,lat,lon,avg_windspeed,date
0,45.5,-125.0,11.571289934322827,2021-05-15
1,45.5,-124.38,9.292534319317744,2021-05-15
2,45.5,-123.75,5.305272992421292,2021-05-15
3,45.5,-123.12,3.990778844540449,2021-05-15
4,45.5,-122.5,3.156506856861188,2021-05-15
5,45.5,-121.88,2.8473577720595533,2021-05-15
6,45.5,-121.25,3.5675088266826642,2021-05-15
7,45.5,-120.62,4.105064802900426,2021-05-15
8,45.5,-120.0,4.335636440185327,2021-05-15
9,45.5,-119.38,3.9690716665263595,2021-05-15
10,45.5,-118.75,3.296861692795657,2021-05-15
11,45.5,-118.12,3.2995758827524884,2021-05-15
12,45.5,-117.5,3.8119871186328393,2021-05-15
13,45.5,-116.88,3.7067883783475803,2021-05-15
14,45.5,-116.25,3.0314350436057755,2021-05-15
15,46.0,-125.0,10.893545012714,2021-05-15
16,46.0,-124.38,8.389266695971477,2021-05-15
17,46.0,-123.75,4.458967191896007,2021-05-15
18,46.0,-123.12,3.760866503392505,2021-05-15
19,46.0,-122.5,3.8033132061189767,2021-05-15
20,46.0,-121.88,3.584605036114804,2021-05-15
21,46.0,-121.25,3.9264228463693254,2021-05-15
22,46.0,-120.62,5.220375504435904,2021-05-15
23,46.0,-120.0,5.340819993982058,2021-05-15
24,46.0,-119.38,3.858919883750487,2021-05-15
25,46.0,-118.75,2.4710422706476245,2021-05-15
26,46.0,-118.12,2.352885423868951,2021-05-15
27,46.0,-117.5,2.9494593737969765,2021-05-15
28,46.0,-116.88,2.904953091248345,2021-05-15
29,46.0,-116.25,3.025839896190339,2021-05-15
30,46.5,-125.0,10.421526693378613,2021-05-15
31,46.5,-124.38,7.681867517842341,2021-05-15
32,46.5,-123.75,4.050522404306828,2021-05-15
33,46.5,-123.12,3.056086718339559,2021-05-15
34,46.5,-122.5,3.6760149447362545,2021-05-15
35,46.5,-121.88,3.635871199113135,2021-05-15
36,46.5,-121.25,3.8441216823975353,2021-05-15
37,46.5,-120.62,5.490002122450174,2021-05-15
38,46.5,-120.0,5.40544315433378,2021-05-15
39,46.5,-119.38,4.055122160049223,2021-05-15
40,46.5,-118.75,2.9353496717430025,2021-05-15
41,46.5,-118.12,2.3175014451862332,2021-05-15
42,46.5,-117.5,2.0681422598242247,2021-05-15
43,46.5,-116.88,2.673047096090002,2021-05-15
44,46.5,-116.25,2.9589804183000994,2021-05-15
45,47.0,-125.0,9.935363811822379,2021-05-15
46,47.0,-124.38,6.76247957285297,2021-05-15
47,47.0,-123.75,3.3647654127998776,2021-05-15
48,47.0,-123.12,1.8744531866019294,2021-05-15
49,47.0,-122.5,2.3618603426887206,2021-05-15
50,47.0,-121.88,2.684059644101101,2021-05-15
51,47.0,-121.25,3.4287253032136706,2021-05-15
52,47.0,-120.62,4.930008892543163,2021-05-15
53,47.0,-120.0,5.196514682324676,2021-05-15
