,lower_left_lat,lower_left_lon,upper_right_lat,upper_right_lon,avg_speed,date
0,45.5,-125.0,46.0,-124.38,5.283455762751597,2020-05-09
1,45.5,-124.38,46.0,-123.75,5.597002860937881,2020-05-09
2,45.5,-123.75,46.0,-123.12,5.620110788833408,2020-05-09
3,45.5,-123.12,46.0,-122.5,6.28140599382204,2020-05-09
4,45.5,-122.5,46.0,-121.88,6.682012394965367,2020-05-09
5,45.5,-121.88,46.0,-121.25,6.647138934789138,2020-05-09
6,45.5,-121.25,46.0,-120.62,7.0615057052775585,2020-05-09
7,45.5,-120.62,46.0,-120.0,6.914403484759382,2020-05-09
8,45.5,-120.0,46.0,-119.38,5.753266979785947,2020-05-09
9,45.5,-119.38,46.0,-118.75,5.058140614900891,2020-05-09
10,45.5,-118.75,46.0,-118.12,4.870159500318072,2020-05-09
11,45.5,-118.12,46.0,-117.5,4.253200581216669,2020-05-09
12,45.5,-117.5,46.0,-116.88,3.4712491158519176,2020-05-09
13,45.5,-116.88,46.0,-116.25,3.335861989551502,2020-05-09
14,46.0,-125.0,46.5,-124.38,6.012116240502312,2020-05-09
15,46.0,-124.38,46.5,-123.75,5.809323653259911,2020-05-09
16,46.0,-123.75,46.5,-123.12,5.4209372014530235,2020-05-09
17,46.0,-123.12,46.5,-122.5,5.605684826019812,2020-05-09
18,46.0,-122.5,46.5,-121.88,6.07871863032774,2020-05-09
19,46.0,-121.88,46.5,-121.25,6.277232182217525,2020-05-09
20,46.0,-121.25,46.5,-120.62,6.7378828437048535,2020-05-09
21,46.0,-120.62,46.5,-120.0,7.151569453052047,2020-05-09
22,46.0,-120.0,46.5,-119.38,6.6176992882880015,2020-05-09
23,46.0,-119.38,46.5,-118.75,5.859683347817914,2020-05-09
24,46.0,-118.75,46.5,-118.12,5.516146820912923,2020-05-09
25,46.0,-118.12,46.5,-117.5,4.950654095603506,2020-05-09
26,46.0,-117.5,46.5,-116.88,4.249484262672373,2020-05-09
27,46.0,-116.88,46.5,-116.25,4.111817425746769,2020-05-09
28,46.5,-125.0,47.0,-124.38,6.744994778812921,2020-05-09
29,46.5,-124.38,47.0,-123.75,5.900559235009222,2020-05-09
30,46.5,-123.75,47.0,-123.12,5.0607213166083564,2020-05-09
31,46.5,-123.12,47.0,-122.5,5.062018334848966,2020-05-09
32,46.5,-122.5,47.0,-121.88,5.725054479927852,2020-05-09
33,46.5,-121.88,47.0,-121.25,6.033030999212397,2020-05-09
34,46.5,-121.25,47.0,-120.62,6.165318822112696,2020-05-09
35,46.5,-120.62,47.0,-120.0,6.648662391056517,2020-05-09
36,46.5,-120.0,47.0,-119.38,7.096060255434339,2020-05-09
37,46.5,-119.38,47.0,-118.75,7.18002366443953,2020-05-09
38,46.5,-118.75,47.0,-118.12,6.880636603368356,2020-05-09
39,46.5,-118.12,47.0,-117.5,6.43765910527645,2020-05-09
40,46.5,-117.5,47.0,-116.88,5.633700840684739,2020-05-09
41,46.5,-116.88,47.0,-116.25,4.746712834762139,2020-05-09
42,47.0,-125.0,47.5,-124.38,6.793545105614204,2020-05-09
43,47.0,-124.38,47.5,-123.75,5.806986414199167,2020-05-09
44,47.0,-123.75,47.5,-123.12,4.949863658059061,2020-05-09
45,47.0,-123.12,47.5,-122.5,4.705202705462825,2020-05-09
46,47.0,-122.5,47.5,-121.88,5.625723663499563,2020-05-09
47,47.0,-121.88,47.5,-121.25,6.354442158122642,2020-05-09
48,47.0,-121.25,47.5,-120.62,6.0037878230464115,2020-05-09
49,47.0,-120.62,47.5,-120.0,6.123650735172746,2020-05-09
50,47.0,-120.0,47.5,-119.38,7.000942565952699,2020-05-09
51,47.0,-119.38,47.5,-118.75,7.844325058540003,2020-05-09
52,47.0,-118.75,47.5,-118.12,7.913486892677596,2020-05-09
53,47.0,-118.12,47.5,-117.5,7.2663668557561865,2020-05-09
54,47.0,-117.5,47.5,-116.88,6.011808303917512,2020-05-09
55,47.0,-116.88,47.5,-116.25,4.830466479439058,2020-05-09
56,47.5,-125.0,48.0,-124.38,6.576196754655214,2020-05-09
57,47.5,-124.38,48.0,-123.75,5.324656869961346,2020-05-09
58,47.5,-123.75,48.0,-123.12,4.534944937791863,2020-05-09
59,47.5,-123.12,48.0,-122.5,4.418812342642807,2020-05-09
60,47.5,-122.5,48.0,-121.88,5.313867948604209,2020-05-09
61,47.5,-121.88,48.0,-121.25,5.977338298765351,2020-05-09
62,47.5,-121.25,48.0,-120.62,5.4416078801844705,2020-05-09
63,47.5,-120.62,48.0,-120.0,5.12752507877924,2020-05-09
64,47.5,-120.0,48.0,-119.38,6.004409122928692,2020-05-09
65,47.5,-119.38,48.0,-118.75,6.992858182727507,2020-05-09
66,47.5,-118.75,48.0,-118.12,7.01938828089689,2020-05-09
67,47.5,-118.12,48.0,-117.5,6.3686137278692065,2020-05-09
68,47.5,-117.5,48.0,-116.88,5.465458003877923,2020-05-09
69,47.5,-116.88,48.0,-116.25,4.70296454917745,2020-05-09
70,48.0,-125.0,48.5,-124.38,6.442881768968458,2020-05-09
71,48.0,-124.38,48.5,-123.75,4.805208064643826,2020-05-09
72,48.0,-123.75,48.5,-123.12,3.932704061693286,2020-05-09
73,48.0,-123.12,48.5,-122.5,3.8744335928455045,2020-05-09
74,48.0,-122.5,48.5,-121.88,4.247346761916907,2020-05-09
75,48.0,-121.88,48.5,-121.25,4.5601052069940415,2020-05-09
76,48.0,-121.25,48.5,-120.62,4.574902801522637,2020-05-09
77,48.0,-120.62,48.5,-120.0,4.320098916025949,2020-05-09
78,48.0,-120.0,48.5,-119.38,4.555431435886966,2020-05-09
79,48.0,-119.38,48.5,-118.75,5.037076897549561,2020-05-09
80,48.0,-118.75,48.5,-118.12,4.9454436385448926,2020-05-09
81,48.0,-118.12,48.5,-117.5,4.6344755108223445,2020-05-09
82,48.0,-117.5,48.5,-116.88,4.433316192827246,2020-05-09
83,48.0,-116.88,48.5,-116.25,4.207819189278016,2020-05-09
84,48.5,-125.0,49.0,-124.38,5.144477707931039,2020-05-09
85,48.5,-124.38,49.0,-123.75,3.809272781891968,2020-05-09
86,48.5,-123.75,49.0,-123.12,3.2922825923869596,2020-05-09
87,48.5,-123.12,49.0,-122.5,3.349495544152647,2020-05-09
88,48.5,-122.5,49.0,-121.88,3.415480448317853,2020-05-09
89,48.5,-121.88,49.0,-121.25,3.6201096980377354,2020-05-09
90,48.5,-121.25,49.0,-120.62,4.023510240924251,2020-05-09
91,48.5,-120.62,49.0,-120.0,4.000016225393434,2020-05-09
