,lower_left_lat,lower_left_lon,upper_right_lat,upper_right_lon,avg_speed,date
0,45.5,-125.0,46.0,-124.38,3.9950702272720044,2020-05-14
1,45.5,-124.38,46.0,-123.75,3.787831597798696,2020-05-14
2,45.5,-123.75,46.0,-123.12,3.2603753790268524,2020-05-14
3,45.5,-123.12,46.0,-122.5,3.18512881462604,2020-05-14
4,45.5,-122.5,46.0,-121.88,2.8534855192746336,2020-05-14
5,45.5,-121.88,46.0,-121.25,2.5692660596492223,2020-05-14
6,45.5,-121.25,46.0,-120.62,3.33457259265022,2020-05-14
7,45.5,-120.62,46.0,-120.0,4.452757916337774,2020-05-14
8,45.5,-120.0,46.0,-119.38,4.790591310961885,2020-05-14
9,45.5,-119.38,46.0,-118.75,4.372859372813974,2020-05-14
10,45.5,-118.75,46.0,-118.12,3.5016182866151473,2020-05-14
11,45.5,-118.12,46.0,-117.5,2.8215148732597726,2020-05-14
12,45.5,-117.5,46.0,-116.88,2.576497363149272,2020-05-14
13,45.5,-116.88,46.0,-116.25,2.5249039063375873,2020-05-14
14,46.0,-125.0,46.5,-124.38,3.436785350432406,2020-05-14
15,46.0,-124.38,46.5,-123.75,3.2705561101732155,2020-05-14
16,46.0,-123.75,46.5,-123.12,2.8579257653590937,2020-05-14
17,46.0,-123.12,46.5,-122.5,2.7947946786408053,2020-05-14
18,46.0,-122.5,46.5,-121.88,2.562944698950129,2020-05-14
19,46.0,-121.88,46.5,-121.25,2.4568012304852394,2020-05-14
20,46.0,-121.25,46.5,-120.62,3.315456609935825,2020-05-14
21,46.0,-120.62,46.5,-120.0,4.466381870778976,2020-05-14
22,46.0,-120.0,46.5,-119.38,4.995772161916263,2020-05-14
23,46.0,-119.38,46.5,-118.75,4.981491341035637,2020-05-14
24,46.0,-118.75,46.5,-118.12,4.5129876526166,2020-05-14
25,46.0,-118.12,46.5,-117.5,3.7551625480961848,2020-05-14
26,46.0,-117.5,46.5,-116.88,2.7769346561849524,2020-05-14
27,46.0,-116.88,46.5,-116.25,2.256604846540937,2020-05-14
28,46.5,-125.0,47.0,-124.38,3.1166594822424245,2020-05-14
29,46.5,-124.38,47.0,-123.75,2.851974122059274,2020-05-14
30,46.5,-123.75,47.0,-123.12,2.6053447127916107,2020-05-14
31,46.5,-123.12,47.0,-122.5,2.7202547350494877,2020-05-14
32,46.5,-122.5,47.0,-121.88,2.525682623943072,2020-05-14
33,46.5,-121.88,47.0,-121.25,2.3040475521526154,2020-05-14
34,46.5,-121.25,47.0,-120.62,2.725966919688229,2020-05-14
35,46.5,-120.62,47.0,-120.0,3.4622016033711973,2020-05-14
36,46.5,-120.0,47.0,-119.38,4.125085370025899,2020-05-14
37,46.5,-119.38,47.0,-118.75,4.702882670215755,2020-05-14
38,46.5,-118.75,47.0,-118.12,5.0160425691283015,2020-05-14
39,46.5,-118.12,47.0,-117.5,4.616976403133305,2020-05-14
40,46.5,-117.5,47.0,-116.88,3.412802703261828,2020-05-14
41,46.5,-116.88,47.0,-116.25,2.4635141876993325,2020-05-14
42,47.0,-125.0,47.5,-124.38,3.025523023266538,2020-05-14
43,47.0,-124.38,47.5,-123.75,2.451740383924545,2020-05-14
44,47.0,-123.75,47.5,-123.12,2.19107458470084,2020-05-14
45,47.0,-123.12,47.5,-122.5,2.5944315107164844,2020-05-14
46,47.0,-122.5,47.5,-121.88,2.4510790156935323,2020-05-14
47,47.0,-121.88,47.5,-121.25,2.076712172343571,2020-05-14
48,47.0,-121.25,47.5,-120.62,2.3092771849008473,2020-05-14
49,47.0,-120.62,47.5,-120.0,2.7611672116763772,2020-05-14
50,47.0,-120.0,47.5,-119.38,3.1707597371273164,2020-05-14
51,47.0,-119.38,47.5,-118.75,3.6527221535536216,2020-05-14
52,47.0,-118.75,47.5,-118.12,4.351502340741617,2020-05-14
53,47.0,-118.12,47.5,-117.5,4.591924471268138,2020-05-14
54,47.0,-117.5,47.5,-116.88,4.002783329160867,2020-05-14
55,47.0,-116.88,47.5,-116.25,3.1846771865488854,2020-05-14
56,47.5,-125.0,48.0,-124.38,2.9791738686679166,2020-05-14
57,47.5,-124.38,48.0,-123.75,2.1444225822990157,2020-05-14
58,47.5,-123.75,48.0,-123.12,1.71310416774822,2020-05-14
59,47.5,-123.12,48.0,-122.5,2.09893102415337,2020-05-14
