,lat,lon,avg_windspeed,date
0,45.5,-125.0,6.685037265283408,2020-07-22
1,45.5,-124.38,5.515600006515995,2020-07-22
2,45.5,-123.75,3.9604703219019712,2020-07-22
3,45.5,-123.12,3.453143112115919,2020-07-22
4,45.5,-122.5,3.009939886224314,2020-07-22
5,45.5,-121.88,3.9732077627581255,2020-07-22
6,45.5,-121.25,5.448183774356228,2020-07-22
7,45.5,-120.62,7.1448763905117,2020-07-22
8,45.5,-120.0,7.971590754020416,2020-07-22
9,45.5,-119.38,7.222223658237261,2020-07-22
10,45.5,-118.75,5.742156690910434,2020-07-22
11,45.5,-118.12,4.167278965796448,2020-07-22
12,45.5,-117.5,3.284507101242284,2020-07-22
13,45.5,-116.88,2.549594615920247,2020-07-22
14,45.5,-116.25,2.0214431991098754,2020-07-22
15,46.0,-125.0,6.49885779429724,2020-07-22
16,46.0,-124.38,5.207217875197046,2020-07-22
17,46.0,-123.75,3.706820654777751,2020-07-22
18,46.0,-123.12,3.4756556650941506,2020-07-22
19,46.0,-122.5,3.0600497103311106,2020-07-22
20,46.0,-121.88,3.6947064801272824,2020-07-22
21,46.0,-121.25,5.050782661999656,2020-07-22
22,46.0,-120.62,6.916640711570634,2020-07-22
23,46.0,-120.0,7.230384613799925,2020-07-22
24,46.0,-119.38,7.135283436309119,2020-07-22
25,46.0,-118.75,6.94210453364428,2020-07-22
26,46.0,-118.12,5.657737168825318,2020-07-22
27,46.0,-117.5,4.6422444541046675,2020-07-22
28,46.0,-116.88,2.7475534229019805,2020-07-22
29,46.0,-116.25,3.107284852406128,2020-07-22
30,46.5,-125.0,6.72333151664294,2020-07-22
31,46.5,-124.38,5.240153238978591,2020-07-22
32,46.5,-123.75,3.843536324019512,2020-07-22
33,46.5,-123.12,2.9559150118235453,2020-07-22
34,46.5,-122.5,2.2346896511430328,2020-07-22
35,46.5,-121.88,3.065018793871165,2020-07-22
36,46.5,-121.25,4.566201657452908,2020-07-22
37,46.5,-120.62,5.568064760638593,2020-07-22
38,46.5,-120.0,5.435296919177733,2020-07-22
39,46.5,-119.38,5.602676325265488,2020-07-22
40,46.5,-118.75,6.3930188695114865,2020-07-22
41,46.5,-118.12,7.108936269813622,2020-07-22
42,46.5,-117.5,5.877868336614067,2020-07-22
43,46.5,-116.88,3.722434833933679,2020-07-22
44,46.5,-116.25,3.1386602077682837,2020-07-22
45,47.0,-125.0,6.9286289742443445,2020-07-22
46,47.0,-124.38,5.300202926644817,2020-07-22
47,47.0,-123.75,4.169361414028764,2020-07-22
48,47.0,-123.12,3.6539088203765075,2020-07-22
49,47.0,-122.5,3.1599213693921313,2020-07-22
50,47.0,-121.88,2.525122863619767,2020-07-22
51,47.0,-121.25,4.227038948708076,2020-07-22
52,47.0,-120.62,5.847886217344899,2020-07-22
53,47.0,-120.0,5.783680976090835,2020-07-22
54,47.0,-119.38,5.64470365743939,2020-07-22
55,47.0,-118.75,5.68135499928852,2020-07-22
56,47.0,-118.12,6.205493141085707,2020-07-22
57,47.0,-117.5,5.9410077969801485,2020-07-22
58,47.0,-116.88,4.64390937692314,2020-07-22
59,47.0,-116.25,3.705966001735199,2020-07-22
60,47.5,-125.0,6.10783337523,2020-07-22
61,47.5,-124.38,4.120744398470413,2020-07-22
62,47.5,-123.75,3.1606663232002816,2020-07-22
63,47.5,-123.12,2.105392303330867,2020-07-22
64,47.5,-122.5,2.640679858262899,2020-07-22
65,47.5,-121.88,1.9291157805149437,2020-07-22
66,47.5,-121.25,3.7740520862928775,2020-07-22
67,47.5,-120.62,4.954374071977958,2020-07-22
68,47.5,-120.0,5.262366748501255,2020-07-22
69,47.5,-119.38,5.62754257464212,2020-07-22
70,47.5,-118.75,5.5676403638531164,2020-07-22
71,47.5,-118.12,5.2822126101430795,2020-07-22
72,47.5,-117.5,6.151784262219131,2020-07-22
73,47.5,-116.88,5.806394075502337,2020-07-22
74,47.5,-116.25,4.798161185173684,2020-07-22
75,48.0,-125.0,5.815742243766714,2020-07-22
76,48.0,-124.38,3.2916956716065884,2020-07-22
77,48.0,-123.75,3.3288481615118912,2020-07-22
78,48.0,-123.12,2.3087235268051525,2020-07-22
79,48.0,-122.5,1.4334367674874013,2020-07-22
80,48.0,-121.88,1.4658042893160637,2020-07-22
81,48.0,-121.25,2.758821910474913,2020-07-22
82,48.0,-120.62,3.7466666464895813,2020-07-22
83,48.0,-120.0,4.118151129547915,2020-07-22
84,48.0,-119.38,4.747158794561297,2020-07-22
85,48.0,-118.75,4.2463531381733075,2020-07-22
86,48.0,-118.12,3.646141967405574,2020-07-22
87,48.0,-117.5,5.044871797747159,2020-07-22
88,48.0,-116.88,5.056831954446829,2020-07-22
89,48.0,-116.25,4.632533476488613,2020-07-22
90,48.5,-125.0,4.443478253041639,2020-07-22
91,48.5,-124.38,3.8134776997079043,2020-07-22
92,48.5,-123.75,5.36784156046042,2020-07-22
93,48.5,-123.12,6.1490158002296065,2020-07-22
94,48.5,-122.5,2.6374090272674953,2020-07-22
95,48.5,-121.88,2.020594341952892,2020-07-22
96,48.5,-121.25,2.146492007731237,2020-07-22
97,48.5,-120.62,3.0725071599472753,2020-07-22
98,48.5,-120.0,3.5923101270092244,2020-07-22
99,48.5,-119.38,3.5792119743567476,2020-07-22
100,48.5,-118.75,3.613012613385807,2020-07-22
101,48.5,-118.12,3.150951064550107,2020-07-22
102,48.5,-117.5,3.5370195661764168,2020-07-22
103,48.5,-116.88,4.195831897607006,2020-07-22
104,48.5,-116.25,3.7718754143599242,2020-07-22
105,49.0,-125.0,2.542070186544334,2020-07-22
106,49.0,-124.38,2.7493228929840967,2020-07-22
107,49.0,-123.75,3.263364017770723,2020-07-22
108,49.0,-123.12,2.841575740978495,2020-07-22
