,lat,lon,avg_windspeed,date
0,45.5,-125.0,13.388726385361386,2021-03-07
1,45.5,-124.38,11.40803331845757,2021-03-07
2,45.5,-123.75,7.092835517859208,2021-03-07
3,45.5,-123.12,5.935667768038365,2021-03-07
4,45.5,-122.5,6.195662302515912,2021-03-07
5,45.5,-121.88,4.759554629652075,2021-03-07
6,45.5,-121.25,4.409371319727122,2021-03-07
7,45.5,-120.62,5.408660154221877,2021-03-07
8,45.5,-120.0,6.509323184583862,2021-03-07
9,45.5,-119.38,7.194554742891955,2021-03-07
10,45.5,-118.75,6.624403199127763,2021-03-07
11,45.5,-118.12,5.293937789037379,2021-03-07
12,45.5,-117.5,4.532567316032906,2021-03-07
13,45.5,-116.88,4.131635143259726,2021-03-07
14,45.5,-116.25,3.5168100401521643,2021-03-07
15,46.0,-125.0,13.269314902585775,2021-03-07
16,46.0,-124.38,11.374014931418527,2021-03-07
17,46.0,-123.75,6.842497725413643,2021-03-07
18,46.0,-123.12,5.0919459798776225,2021-03-07
19,46.0,-122.5,4.981854446440221,2021-03-07
20,46.0,-121.88,4.437000626077862,2021-03-07
21,46.0,-121.25,4.22431240862169,2021-03-07
22,46.0,-120.62,6.165852059443103,2021-03-07
23,46.0,-120.0,6.748791828562024,2021-03-07
24,46.0,-119.38,6.719301961725036,2021-03-07
25,46.0,-118.75,7.300977510559999,2021-03-07
26,46.0,-118.12,6.39966293950549,2021-03-07
27,46.0,-117.5,5.327384814903011,2021-03-07
28,46.0,-116.88,4.353585078839848,2021-03-07
29,46.0,-116.25,4.122412048055661,2021-03-07
30,46.5,-125.0,13.20706801657276,2021-03-07
31,46.5,-124.38,10.713100209832618,2021-03-07
32,46.5,-123.75,6.118930754434234,2021-03-07
33,46.5,-123.12,5.37095739063814,2021-03-07
34,46.5,-122.5,5.426048871323482,2021-03-07
35,46.5,-121.88,4.736317138955285,2021-03-07
36,46.5,-121.25,4.55247440767904,2021-03-07
37,46.5,-120.62,5.555293875984937,2021-03-07
38,46.5,-120.0,6.221447100668205,2021-03-07
39,46.5,-119.38,6.714196397744622,2021-03-07
40,46.5,-118.75,7.523905134803791,2021-03-07
41,46.5,-118.12,8.108674908474821,2021-03-07
42,46.5,-117.5,7.266286611238588,2021-03-07
43,46.5,-116.88,5.394756695307419,2021-03-07
44,46.5,-116.25,4.259651937413201,2021-03-07
45,47.0,-125.0,12.631388185085157,2021-03-07
46,47.0,-124.38,9.417564711591847,2021-03-07
47,47.0,-123.75,6.04741501748568,2021-03-07
48,47.0,-123.12,5.293791202113683,2021-03-07
49,47.0,-122.5,5.5628457894249905,2021-03-07
50,47.0,-121.88,4.969297372132817,2021-03-07
51,47.0,-121.25,3.7687463286747938,2021-03-07
52,47.0,-120.62,3.952754039974401,2021-03-07
53,47.0,-120.0,4.9777975473922185,2021-03-07
54,47.0,-119.38,6.294531187422465,2021-03-07
55,47.0,-118.75,7.605679729809451,2021-03-07
56,47.0,-118.12,8.477044501791264,2021-03-07
57,47.0,-117.5,7.887109326041226,2021-03-07
58,47.0,-116.88,5.843660724258792,2021-03-07
59,47.0,-116.25,3.8277672525951467,2021-03-07
60,47.5,-125.0,11.9069215807887,2021-03-07
61,47.5,-124.38,8.731360372032258,2021-03-07
62,47.5,-123.75,4.956871208160681,2021-03-07
63,47.5,-123.12,4.375976936565283,2021-03-07
64,47.5,-122.5,5.8131082784271735,2021-03-07
65,47.5,-121.88,4.673626612372616,2021-03-07
66,47.5,-121.25,3.5081123171930195,2021-03-07
67,47.5,-120.62,3.0428864910363114,2021-03-07
68,47.5,-120.0,3.8740431955539445,2021-03-07
69,47.5,-119.38,5.20968655593014,2021-03-07
70,47.5,-118.75,6.804756009606607,2021-03-07
71,47.5,-118.12,7.873472437839841,2021-03-07
72,47.5,-117.5,7.471821920528314,2021-03-07
73,47.5,-116.88,5.960290788520559,2021-03-07
74,47.5,-116.25,4.6248759746193535,2021-03-07
75,48.0,-125.0,11.805179259515725,2021-03-07
76,48.0,-124.38,7.239389299091797,2021-03-07
77,48.0,-123.75,6.102266134813436,2021-03-07
78,48.0,-123.12,5.319972111634792,2021-03-07
79,48.0,-122.5,5.107008386038201,2021-03-07
80,48.0,-121.88,4.22422695764528,2021-03-07
81,48.0,-121.25,2.931085985792185,2021-03-07
82,48.0,-120.62,2.2420493304985434,2021-03-07
83,48.0,-120.0,2.602841920115232,2021-03-07
84,48.0,-119.38,4.368545611511178,2021-03-07
85,48.0,-118.75,4.709943819504154,2021-03-07
86,48.0,-118.12,4.744297975770125,2021-03-07
87,48.0,-117.5,4.90149807089237,2021-03-07
88,48.0,-116.88,4.682265226280556,2021-03-07
89,48.0,-116.25,4.22413571810539,2021-03-07
90,48.5,-125.0,8.540145294568484,2021-03-07
91,48.5,-124.38,5.767349305125176,2021-03-07
92,48.5,-123.75,5.675225828239515,2021-03-07
93,48.5,-123.12,6.502523169532329,2021-03-07
94,48.5,-122.5,5.61114802685134,2021-03-07
95,48.5,-121.88,3.675909344544603,2021-03-07
96,48.5,-121.25,2.8165121426114585,2021-03-07
97,48.5,-120.62,2.4062201005177655,2021-03-07
98,48.5,-120.0,2.829162455819242,2021-03-07
99,48.5,-119.38,3.85390331290161,2021-03-07
100,48.5,-118.75,3.935536223712482,2021-03-07
101,48.5,-118.12,3.5739151831217657,2021-03-07
102,48.5,-117.5,3.5581298259877943,2021-03-07
103,48.5,-116.88,3.5304409756384074,2021-03-07
104,48.5,-116.25,3.3549061602428534,2021-03-07
105,49.0,-125.0,5.861026333524229,2021-03-07
106,49.0,-124.38,5.015530839332718,2021-03-07
107,49.0,-123.75,6.010000927985053,2021-03-07
108,49.0,-123.12,5.977914068442206,2021-03-07
109,49.0,-122.5,5.203078807892903,2021-03-07
110,49.0,-121.88,3.620673525109225,2021-03-07
111,49.0,-121.25,3.1258447700559753,2021-03-07
112,49.0,-120.62,3.6425580694396658,2021-03-07
113,49.0,-120.0,4.042856149738434,2021-03-07
114,49.0,-119.38,3.8224687849384256,2021-03-07
115,49.0,-118.75,3.6909059522125496,2021-03-07
116,49.0,-118.12,3.0277130851253755,2021-03-07
117,49.0,-117.5,2.978025951780889,2021-03-07
118,49.0,-116.88,2.698538944591409,2021-03-07
119,49.0,-116.25,2.8182318302079383,2021-03-07
120,49.5,-125.0,4.673218666834281,2021-03-07
121,49.5,-124.38,5.746914639992908,2021-03-07
122,49.5,-123.75,5.135907588528512,2021-03-07
123,49.5,-123.12,4.43604463288309,2021-03-07
124,49.5,-122.5,3.471627627872292,2021-03-07
125,49.5,-121.88,2.822392766031005,2021-03-07
126,49.5,-121.25,3.357004827559864,2021-03-07
127,49.5,-120.62,3.898406343930304,2021-03-07
128,49.5,-120.0,3.4095790021577983,2021-03-07
129,49.5,-119.38,3.6291206271639638,2021-03-07
130,49.5,-118.75,3.481416618285302,2021-03-07
131,49.5,-118.12,2.6829790140818908,2021-03-07
132,49.5,-117.5,2.3318601070528446,2021-03-07
133,49.5,-116.88,2.1812137960145916,2021-03-07
134,49.5,-116.25,2.958354222994617,2021-03-07
