,lat,lon,avg_windspeed,date
0,45.5,-125.0,10.089605018556233,2021-05-16
1,45.5,-124.38,8.024927966225274,2021-05-16
2,45.5,-123.75,4.526614238002021,2021-05-16
3,45.5,-123.12,3.418757173442057,2021-05-16
4,45.5,-122.5,2.879847584350181,2021-05-16
5,45.5,-121.88,3.455596396979591,2021-05-16
6,45.5,-121.25,4.425997227385438,2021-05-16
7,45.5,-120.62,4.479513851292263,2021-05-16
8,45.5,-120.0,4.066376236103449,2021-05-16
9,45.5,-119.38,3.3568403363519828,2021-05-16
10,45.5,-118.75,2.6852220647292753,2021-05-16
11,45.5,-118.12,2.1906272616824,2021-05-16
12,45.5,-117.5,2.7673004459018338,2021-05-16
13,45.5,-116.88,2.9814766522835465,2021-05-16
14,45.5,-116.25,2.209439574526685,2021-05-16
15,46.0,-125.0,9.601481784836485,2021-05-16
16,46.0,-124.38,7.579734385113106,2021-05-16
17,46.0,-123.75,4.16757935328185,2021-05-16
18,46.0,-123.12,3.366320012843896,2021-05-16
19,46.0,-122.5,3.650688562015849,2021-05-16
20,46.0,-121.88,3.5573753862539026,2021-05-16
21,46.0,-121.25,3.6912385947438806,2021-05-16
22,46.0,-120.62,4.063375767841141,2021-05-16
23,46.0,-120.0,3.994707329409618,2021-05-16
24,46.0,-119.38,3.269788493056987,2021-05-16
25,46.0,-118.75,2.42946913236816,2021-05-16
26,46.0,-118.12,2.2972764794772518,2021-05-16
27,46.0,-117.5,1.8201383118737386,2021-05-16
28,46.0,-116.88,2.288100656602904,2021-05-16
29,46.0,-116.25,2.046930537399066,2021-05-16
30,46.5,-125.0,9.324682051406333,2021-05-16
31,46.5,-124.38,7.19651510701879,2021-05-16
32,46.5,-123.75,3.8894697501148823,2021-05-16
33,46.5,-123.12,2.5586617304661865,2021-05-16
34,46.5,-122.5,3.298514114760929,2021-05-16
35,46.5,-121.88,3.42702127612244,2021-05-16
36,46.5,-121.25,3.555668394035797,2021-05-16
37,46.5,-120.62,4.7886662646155,2021-05-16
38,46.5,-120.0,4.429873029196863,2021-05-16
39,46.5,-119.38,3.5888940879824935,2021-05-16
40,46.5,-118.75,2.4916304827914475,2021-05-16
41,46.5,-118.12,2.485383612966061,2021-05-16
42,46.5,-117.5,2.1114507321781,2021-05-16
43,46.5,-116.88,1.5751090959617635,2021-05-16
44,46.5,-116.25,2.0108706920319017,2021-05-16
45,47.0,-125.0,9.126519300031811,2021-05-16
46,47.0,-124.38,6.741803650673687,2021-05-16
47,47.0,-123.75,3.6004601618116574,2021-05-16
48,47.0,-123.12,1.545435820124726,2021-05-16
49,47.0,-122.5,1.715981044082792,2021-05-16
50,47.0,-121.88,2.1258267635526096,2021-05-16
51,47.0,-121.25,3.5927217602435904,2021-05-16
52,47.0,-120.62,4.998174415313141,2021-05-16
53,47.0,-120.0,4.490587291775502,2021-05-16
54,47.0,-119.38,4.17472206748342,2021-05-16
55,47.0,-118.75,3.0697770856110385,2021-05-16
56,47.0,-118.12,2.7181450644476963,2021-05-16
57,47.0,-117.5,2.7337944989644076,2021-05-16
58,47.0,-116.88,2.382756754436662,2021-05-16
59,47.0,-116.25,2.180374303047574,2021-05-16
60,47.5,-125.0,8.792500759087511,2021-05-16
61,47.5,-124.38,5.773296775405913,2021-05-16
