,lower_left_lat,lower_left_lon,upper_right_lat,upper_right_lon,avg_speed,date
0,45.5,-125.0,46.0,-124.38,5.564790049941315,2020-05-19
1,45.5,-124.38,46.0,-123.75,4.2696509752617455,2020-05-19
2,45.5,-123.75,46.0,-123.12,3.4903273295330797,2020-05-19
3,45.5,-123.12,46.0,-122.5,3.279113425355461,2020-05-19
4,45.5,-122.5,46.0,-121.88,3.5385058654320023,2020-05-19
5,45.5,-121.88,46.0,-121.25,4.337457325416253,2020-05-19
6,45.5,-121.25,46.0,-120.62,5.2013096145731055,2020-05-19
7,45.5,-120.62,46.0,-120.0,5.669458686853561,2020-05-19
8,45.5,-120.0,46.0,-119.38,5.730008740671716,2020-05-19
9,45.5,-119.38,46.0,-118.75,5.394722832282261,2020-05-19
10,45.5,-118.75,46.0,-118.12,4.28206389829238,2020-05-19
11,45.5,-118.12,46.0,-117.5,3.1241094887656713,2020-05-19
12,45.5,-117.5,46.0,-116.88,2.6019242276525274,2020-05-19
13,45.5,-116.88,46.0,-116.25,2.4334080757820002,2020-05-19
14,46.0,-125.0,46.5,-124.38,5.740320570876094,2020-05-19
15,46.0,-124.38,46.5,-123.75,4.359482599262514,2020-05-19
16,46.0,-123.75,46.5,-123.12,3.381161768960331,2020-05-19
17,46.0,-123.12,46.5,-122.5,2.9599274736390693,2020-05-19
18,46.0,-122.5,46.5,-121.88,2.997296115767043,2020-05-19
19,46.0,-121.88,46.5,-121.25,3.5628645996622392,2020-05-19
20,46.0,-121.25,46.5,-120.62,4.250187593329953,2020-05-19
21,46.0,-120.62,46.5,-120.0,4.402786527610273,2020-05-19
22,46.0,-120.0,46.5,-119.38,4.104632270166472,2020-05-19
23,46.0,-119.38,46.5,-118.75,4.326876500428019,2020-05-19
24,46.0,-118.75,46.5,-118.12,4.203226142091706,2020-05-19
25,46.0,-118.12,46.5,-117.5,3.343121071951352,2020-05-19
26,46.0,-117.5,46.5,-116.88,2.866404241744831,2020-05-19
27,46.0,-116.88,46.5,-116.25,2.667632233485765,2020-05-19
28,46.5,-125.0,47.0,-124.38,5.835067795338054,2020-05-19
29,46.5,-124.38,47.0,-123.75,4.429401312012374,2020-05-19
30,46.5,-123.75,47.0,-123.12,3.466831286780068,2020-05-19
31,46.5,-123.12,47.0,-122.5,2.965745285676299,2020-05-19
32,46.5,-122.5,47.0,-121.88,2.6202158145336267,2020-05-19
33,46.5,-121.88,47.0,-121.25,3.021325021937324,2020-05-19
34,46.5,-121.25,47.0,-120.62,3.8153957612628036,2020-05-19
35,46.5,-120.62,47.0,-120.0,3.7330860986673953,2020-05-19
36,46.5,-120.0,47.0,-119.38,2.7449769844904686,2020-05-19
37,46.5,-119.38,47.0,-118.75,2.834749879340408,2020-05-19
38,46.5,-118.75,47.0,-118.12,3.5394098405954106,2020-05-19
39,46.5,-118.12,47.0,-117.5,3.29302865557992,2020-05-19
40,46.5,-117.5,47.0,-116.88,2.7911549271083502,2020-05-19
41,46.5,-116.88,47.0,-116.25,2.337712121475771,2020-05-19
42,47.0,-125.0,47.5,-124.38,5.3682626654173,2020-05-19
43,47.0,-124.38,47.5,-123.75,3.872041415207836,2020-05-19
44,47.0,-123.75,47.5,-123.12,2.8619881148780495,2020-05-19
45,47.0,-123.12,47.5,-122.5,2.3722056424880056,2020-05-19
46,47.0,-122.5,47.5,-121.88,2.1181805691149025,2020-05-19
47,47.0,-121.88,47.5,-121.25,2.607239590701323,2020-05-19
48,47.0,-121.25,47.5,-120.62,3.32974295115249,2020-05-19
49,47.0,-120.62,47.5,-120.0,3.0823651320073613,2020-05-19
50,47.0,-120.0,47.5,-119.38,2.1498396502651587,2020-05-19
51,47.0,-119.38,47.5,-118.75,1.95838675608205,2020-05-19
52,47.0,-118.75,47.5,-118.12,2.44768990506837,2020-05-19
53,47.0,-118.12,47.5,-117.5,2.543052031042539,2020-05-19
54,47.0,-117.5,47.5,-116.88,2.255903226458763,2020-05-19
55,47.0,-116.88,47.5,-116.25,1.916223740116276,2020-05-19
56,47.5,-125.0,48.0,-124.38,4.534682770628662,2020-05-19
57,47.5,-124.38,48.0,-123.75,3.0374521999361197,2020-05-19
58,47.5,-123.75,48.0,-123.12,2.354095794354466,2020-05-19
59,47.5,-123.12,48.0,-122.5,1.882099294584791,2020-05-19
60,47.5,-122.5,48.0,-121.88,1.6337458170766883,2020-05-19
61,47.5,-121.88,48.0,-121.25,2.0107007236683154,2020-05-19
62,47.5,-121.25,48.0,-120.62,2.446991882307231,2020-05-19
63,47.5,-120.62,48.0,-120.0,2.314405427107853,2020-05-19
64,47.5,-120.0,48.0,-119.38,1.8173801571785833,2020-05-19
65,47.5,-119.38,48.0,-118.75,1.5411957872931272,2020-05-19
66,47.5,-118.75,48.0,-118.12,1.6216762236883735,2020-05-19
67,47.5,-118.12,48.0,-117.5,1.7778255782730406,2020-05-19
68,47.5,-117.5,48.0,-116.88,1.8985285975195134,2020-05-19
69,47.5,-116.88,48.0,-116.25,1.9066136595685412,2020-05-19
70,48.0,-125.0,48.5,-124.38,3.708630306343272,2020-05-19
71,48.0,-124.38,48.5,-123.75,3.0781248658665024,2020-05-19
72,48.0,-123.75,48.5,-123.12,3.3396217456481674,2020-05-19
73,48.0,-123.12,48.5,-122.5,2.762736210947069,2020-05-19
74,48.0,-122.5,48.5,-121.88,1.8176219504222608,2020-05-19
75,48.0,-121.88,48.5,-121.25,1.6944484077741926,2020-05-19
76,48.0,-121.25,48.5,-120.62,1.8491573173824396,2020-05-19
77,48.0,-120.62,48.5,-120.0,1.8987208164730405,2020-05-19
78,48.0,-120.0,48.5,-119.38,1.7095605149260775,2020-05-19
79,48.0,-119.38,48.5,-118.75,1.4914898451079939,2020-05-19
80,48.0,-118.75,48.5,-118.12,1.445983822646037,2020-05-19
81,48.0,-118.12,48.5,-117.5,1.4928102682405129,2020-05-19
82,48.0,-117.5,48.5,-116.88,1.6604262644982788,2020-05-19
83,48.0,-116.88,48.5,-116.25,1.9293929800940197,2020-05-19
84,48.5,-125.0,49.0,-124.38,2.6430184016129576,2020-05-19
85,48.5,-124.38,49.0,-123.75,2.9098323390733185,2020-05-19
86,48.5,-123.75,49.0,-123.12,3.30320911332807,2020-05-19
87,48.5,-123.12,49.0,-122.5,2.918793730408025,2020-05-19
88,48.5,-122.5,49.0,-121.88,2.250085499769919,2020-05-19
89,48.5,-121.88,49.0,-121.25,1.7700839393973293,2020-05-19
90,48.5,-121.25,49.0,-120.62,1.7251665629821964,2020-05-19
91,48.5,-120.62,49.0,-120.0,1.8622448192502323,2020-05-19
92,48.5,-120.0,49.0,-119.38,1.7957598231817524,2020-05-19
93,48.5,-119.38,49.0,-118.75,1.581492814320152,2020-05-19
94,48.5,-118.75,49.0,-118.12,1.4554327234712936,2020-05-19
95,48.5,-118.12,49.0,-117.5,1.419040736006188,2020-05-19
96,48.5,-117.5,49.0,-116.88,1.5708239811011915,2020-05-19
97,48.5,-116.88,49.0,-116.25,2.0073275795630083,2020-05-19
98,49.0,-125.0,49.5,-124.38,2.103308381115574,2020-05-19
99,49.0,-124.38,49.5,-123.75,2.149444613553092,2020-05-19
100,49.0,-123.75,49.5,-123.12,2.0777805376698053,2020-05-19
101,49.0,-123.12,49.5,-122.5,2.0879832820487882,2020-05-19
102,49.0,-122.5,49.5,-121.88,2.157974866582871,2020-05-19
103,49.0,-121.88,49.5,-121.25,1.9017342298890987,2020-05-19
104,49.0,-121.25,49.5,-120.62,1.878983171641857,2020-05-19
105,49.0,-120.62,49.5,-120.0,2.0057828780356557,2020-05-19
106,49.0,-120.0,49.5,-119.38,1.9007392204830733,2020-05-19
107,49.0,-119.38,49.5,-118.75,1.6545741889982126,2020-05-19
108,49.0,-118.75,49.5,-118.12,1.4575951296984409,2020-05-19
109,49.0,-118.12,49.5,-117.5,1.3798858544079777,2020-05-19
110,49.0,-117.5,49.5,-116.88,1.5690767456402896,2020-05-19
111,49.0,-116.88,49.5,-116.25,2.1562825347023136,2020-05-19
