,lat,lon,avg_windspeed,date
0,45.5,-125.0,5.924546966666305,2020-11-27
1,45.5,-124.38,4.177010077494491,2020-11-27
2,45.5,-123.75,2.560946617387806,2020-11-27
3,45.5,-123.12,1.9428445483583614,2020-11-27
4,45.5,-122.5,2.6764390847779667,2020-11-27
5,45.5,-121.88,2.2351253701018465,2020-11-27
6,45.5,-121.25,2.3161089271646564,2020-11-27
7,45.5,-120.62,4.595288900244132,2020-11-27
8,45.5,-120.0,7.13894931099584,2020-11-27
9,45.5,-119.38,7.739903496389606,2020-11-27
10,45.5,-118.75,7.182225380286002,2020-11-27
11,45.5,-118.12,5.725909641360308,2020-11-27
12,45.5,-117.5,5.2472616351256045,2020-11-27
13,45.5,-116.88,4.661976592924589,2020-11-27
14,45.5,-116.25,3.4711021315317034,2020-11-27
15,46.0,-125.0,7.965640619807304,2020-11-27
16,46.0,-124.38,5.918470485132581,2020-11-27
17,46.0,-123.75,3.708054320919159,2020-11-27
18,46.0,-123.12,2.348651842043568,2020-11-27
19,46.0,-122.5,2.557176067494905,2020-11-27
20,46.0,-121.88,1.9073164376122085,2020-11-27
21,46.0,-121.25,2.090376525764769,2020-11-27
22,46.0,-120.62,4.772123521422412,2020-11-27
23,46.0,-120.0,6.699939259136889,2020-11-27
24,46.0,-119.38,6.255409198436932,2020-11-27
25,46.0,-118.75,6.824343821307697,2020-11-27
26,46.0,-118.12,5.705519863380193,2020-11-27
27,46.0,-117.5,4.75799683576659,2020-11-27
28,46.0,-116.88,4.668351315954683,2020-11-27
29,46.0,-116.25,4.491383301060737,2020-11-27
30,46.5,-125.0,9.819361675434548,2020-11-27
31,46.5,-124.38,7.103893610926494,2020-11-27
32,46.5,-123.75,3.757602633785771,2020-11-27
33,46.5,-123.12,2.8760978771142423,2020-11-27
34,46.5,-122.5,3.067743335079763,2020-11-27
35,46.5,-121.88,2.1922269225311357,2020-11-27
36,46.5,-121.25,3.4006373089249564,2020-11-27
37,46.5,-120.62,4.226967132480222,2020-11-27
38,46.5,-120.0,4.551405649688814,2020-11-27
39,46.5,-119.38,5.623634384449885,2020-11-27
40,46.5,-118.75,6.615419807993233,2020-11-27
41,46.5,-118.12,7.124095246841821,2020-11-27
42,46.5,-117.5,5.829107355618457,2020-11-27
43,46.5,-116.88,3.8742255968370354,2020-11-27
44,46.5,-116.25,3.4510858554577104,2020-11-27
45,47.0,-125.0,11.18208341750468,2020-11-27
46,47.0,-124.38,7.672362567325499,2020-11-27
47,47.0,-123.75,4.203933348733848,2020-11-27
48,47.0,-123.12,3.459492521291443,2020-11-27
49,47.0,-122.5,3.9544842136132186,2020-11-27
50,47.0,-121.88,3.4114461213238365,2020-11-27
51,47.0,-121.25,3.2656741226033232,2020-11-27
52,47.0,-120.62,3.598027339096115,2020-11-27
53,47.0,-120.0,2.881153477545427,2020-11-27
54,47.0,-119.38,4.782394647201758,2020-11-27
55,47.0,-118.75,5.34268930868918,2020-11-27
56,47.0,-118.12,6.473996382812877,2020-11-27
57,47.0,-117.5,5.345767373532383,2020-11-27
58,47.0,-116.88,4.318582703607843,2020-11-27
59,47.0,-116.25,3.7342582018055896,2020-11-27
60,47.5,-125.0,11.991810626280481,2020-11-27
61,47.5,-124.38,7.897390292695715,2020-11-27
62,47.5,-123.75,3.531736585770799,2020-11-27
63,47.5,-123.12,3.8786938383881755,2020-11-27
64,47.5,-122.5,5.665127938921317,2020-11-27
65,47.5,-121.88,3.606459243438858,2020-11-27
66,47.5,-121.25,2.5286765430649014,2020-11-27
67,47.5,-120.62,2.9725224214127333,2020-11-27
68,47.5,-120.0,2.8921336121335735,2020-11-27
69,47.5,-119.38,4.409913092519074,2020-11-27
70,47.5,-118.75,5.481706394904048,2020-11-27
71,47.5,-118.12,5.969392200914817,2020-11-27
72,47.5,-117.5,5.520540105188794,2020-11-27
73,47.5,-116.88,4.500756509854891,2020-11-27
74,47.5,-116.25,3.5976073901178203,2020-11-27
75,48.0,-125.0,12.952112009212206,2020-11-27
76,48.0,-124.38,7.9365248627478,2020-11-27
77,48.0,-123.75,6.29342153307526,2020-11-27
78,48.0,-123.12,5.22697697947057,2020-11-27
79,48.0,-122.5,4.619621087912068,2020-11-27
80,48.0,-121.88,3.7741348861871162,2020-11-27
81,48.0,-121.25,2.3212051949168404,2020-11-27
82,48.0,-120.62,2.6235331564333686,2020-11-27
83,48.0,-120.0,2.214918240076499,2020-11-27
84,48.0,-119.38,4.0020927674250855,2020-11-27
85,48.0,-118.75,3.6851447837102267,2020-11-27
86,48.0,-118.12,3.592327323339076,2020-11-27
87,48.0,-117.5,3.7025238901941346,2020-11-27
88,48.0,-116.88,3.3986346523606112,2020-11-27
89,48.0,-116.25,3.872875784835411,2020-11-27
90,48.5,-125.0,10.70313089641728,2020-11-27
91,48.5,-124.38,7.30527134336739,2020-11-27
92,48.5,-123.75,6.225610146932809,2020-11-27
93,48.5,-123.12,5.374061452255222,2020-11-27
94,48.5,-122.5,5.358620412357872,2020-11-27
95,48.5,-121.88,3.748535382079955,2020-11-27
96,48.5,-121.25,2.941393275034864,2020-11-27
97,48.5,-120.62,2.6903938747865683,2020-11-27
98,48.5,-120.0,2.388638129345511,2020-11-27
99,48.5,-119.38,3.09555674932103,2020-11-27
100,48.5,-118.75,3.228665145326968,2020-11-27
101,48.5,-118.12,2.8019309390134004,2020-11-27
102,48.5,-117.5,2.984586650195796,2020-11-27
103,48.5,-116.88,3.214670882285049,2020-11-27
104,48.5,-116.25,4.003913676073858,2020-11-27
105,49.0,-125.0,8.357219475506591,2020-11-27
106,49.0,-124.38,7.296389395082891,2020-11-27
107,49.0,-123.75,6.925847059341776,2020-11-27
108,49.0,-123.12,6.066572934673405,2020-11-27
109,49.0,-122.5,5.184675784091833,2020-11-27
110,49.0,-121.88,4.237960837016667,2020-11-27
111,49.0,-121.25,3.956247924176991,2020-11-27
112,49.0,-120.62,4.0479224313028555,2020-11-27
113,49.0,-120.0,4.163770670021963,2020-11-27
114,49.0,-119.38,3.6511973979008103,2020-11-27
115,49.0,-118.75,3.1154233692193105,2020-11-27
116,49.0,-118.12,2.2965227316464243,2020-11-27
117,49.0,-117.5,3.0047193722126053,2020-11-27
118,49.0,-116.88,3.1430726152202,2020-11-27
119,49.0,-116.25,4.374240364823411,2020-11-27
120,49.5,-125.0,8.089468746590649,2020-11-27
121,49.5,-124.38,6.840896597623245,2020-11-27
122,49.5,-123.75,5.588145127667779,2020-11-27
123,49.5,-123.12,4.191991997994187,2020-11-27
124,49.5,-122.5,4.082691532097615,2020-11-27
125,49.5,-121.88,4.778171342298617,2020-11-27
126,49.5,-121.25,5.810791852711943,2020-11-27
127,49.5,-120.62,5.583232809474107,2020-11-27
128,49.5,-120.0,3.3977439328734307,2020-11-27
129,49.5,-119.38,3.4190678729937107,2020-11-27
130,49.5,-118.75,3.158483949887907,2020-11-27
131,49.5,-118.12,2.5641494593406198,2020-11-27
132,49.5,-117.5,2.5699983434036984,2020-11-27
133,49.5,-116.88,2.750242418857812,2020-11-27
134,49.5,-116.25,4.949194277649825,2020-11-27
