,lower_left_lat,lower_left_lon,upper_right_lat,upper_right_lon,avg_speed,date
0,45.5,-125.0,46.0,-124.38,4.973751266082145,2020-05-05
1,45.5,-124.38,46.0,-123.75,4.626982256493273,2020-05-05
2,45.5,-123.75,46.0,-123.12,3.5483970502497213,2020-05-05
3,45.5,-123.12,46.0,-122.5,3.150501558947313,2020-05-05
4,45.5,-122.5,46.0,-121.88,2.921431044698945,2020-05-05
5,45.5,-121.88,46.0,-121.25,2.4805707291512,2020-05-05
6,45.5,-121.25,46.0,-120.62,2.6204719722132856,2020-05-05
7,45.5,-120.62,46.0,-120.0,2.8962063691025413,2020-05-05
8,45.5,-120.0,46.0,-119.38,2.75449320246471,2020-05-05
9,45.5,-119.38,46.0,-118.75,2.6092017336141584,2020-05-05
10,45.5,-118.75,46.0,-118.12,2.960253253435035,2020-05-05
11,45.5,-118.12,46.0,-117.5,3.4630386394193367,2020-05-05
12,45.5,-117.5,46.0,-116.88,3.3387221632240087,2020-05-05
13,45.5,-116.88,46.0,-116.25,3.0053686411862315,2020-05-05
14,46.0,-125.0,46.5,-124.38,5.010747548910118,2020-05-05
15,46.0,-124.38,46.5,-123.75,4.497506485704706,2020-05-05
16,46.0,-123.75,46.5,-123.12,3.521131637668506,2020-05-05
17,46.0,-123.12,46.5,-122.5,3.2767195693276627,2020-05-05
18,46.0,-122.5,46.5,-121.88,3.226710030556432,2020-05-05
19,46.0,-121.88,46.5,-121.25,2.864320441313733,2020-05-05
20,46.0,-121.25,46.5,-120.62,2.9991511312775785,2020-05-05
21,46.0,-120.62,46.5,-120.0,3.1539992758114486,2020-05-05
22,46.0,-120.0,46.5,-119.38,2.950708707533312,2020-05-05
23,46.0,-119.38,46.5,-118.75,2.912847972731453,2020-05-05
24,46.0,-118.75,46.5,-118.12,3.195015284723815,2020-05-05
25,46.0,-118.12,46.5,-117.5,3.5029311381593895,2020-05-05
26,46.0,-117.5,46.5,-116.88,3.4197673481305673,2020-05-05
27,46.0,-116.88,46.5,-116.25,3.227604171226848,2020-05-05
28,46.5,-125.0,47.0,-124.38,5.086361300574293,2020-05-05
29,46.5,-124.38,47.0,-123.75,4.269143619174925,2020-05-05
30,46.5,-123.75,47.0,-123.12,3.3148014973827964,2020-05-05
31,46.5,-123.12,47.0,-122.5,3.06219342711833,2020-05-05
32,46.5,-122.5,47.0,-121.88,3.1427636482602614,2020-05-05
33,46.5,-121.88,47.0,-121.25,2.9651985146043813,2020-05-05
34,46.5,-121.25,47.0,-120.62,2.987790100221574,2020-05-05
35,46.5,-120.62,47.0,-120.0,3.033516465801907,2020-05-05
36,46.5,-120.0,47.0,-119.38,3.0256532707653476,2020-05-05
37,46.5,-119.38,47.0,-118.75,3.557967588837803,2020-05-05
38,46.5,-118.75,47.0,-118.12,4.085610014623012,2020-05-05
39,46.5,-118.12,47.0,-117.5,4.308806151938854,2020-05-05
40,46.5,-117.5,47.0,-116.88,4.13723294109839,2020-05-05
41,46.5,-116.88,47.0,-116.25,3.5587485568684465,2020-05-05
42,47.0,-125.0,47.5,-124.38,5.1700059422453,2020-05-05
43,47.0,-124.38,47.5,-123.75,4.09196103428777,2020-05-05
44,47.0,-123.75,47.5,-123.12,3.117611896938054,2020-05-05
45,47.0,-123.12,47.5,-122.5,2.7443659263882374,2020-05-05
46,47.0,-122.5,47.5,-121.88,2.620398416415175,2020-05-05
47,47.0,-121.88,47.5,-121.25,2.5614034447044793,2020-05-05
48,47.0,-121.25,47.5,-120.62,2.6519842088042958,2020-05-05
49,47.0,-120.62,47.5,-120.0,2.9119496993901217,2020-05-05
50,47.0,-120.0,47.5,-119.38,3.390319100376253,2020-05-05
51,47.0,-119.38,47.5,-118.75,4.123197843050469,2020-05-05
52,47.0,-118.75,47.5,-118.12,4.44718957039985,2020-05-05
53,47.0,-118.12,47.5,-117.5,4.270756047256279,2020-05-05
54,47.0,-117.5,47.5,-116.88,3.7836762935658435,2020-05-05
55,47.0,-116.88,47.5,-116.25,3.083686444620333,2020-05-05
56,47.5,-125.0,48.0,-124.38,5.038575147902495,2020-05-05
57,47.5,-124.38,48.0,-123.75,3.882262862540679,2020-05-05
58,47.5,-123.75,48.0,-123.12,3.130046979551588,2020-05-05
59,47.5,-123.12,48.0,-122.5,2.7331453381315187,2020-05-05
60,47.5,-122.5,48.0,-121.88,2.396366097335628,2020-05-05
61,47.5,-121.88,48.0,-121.25,2.291265088625952,2020-05-05
62,47.5,-121.25,48.0,-120.62,2.3144913403386984,2020-05-05
63,47.5,-120.62,48.0,-120.0,2.634184983886956,2020-05-05
64,47.5,-120.0,48.0,-119.38,3.4010683476058015,2020-05-05
65,47.5,-119.38,48.0,-118.75,3.969995749292949,2020-05-05
66,47.5,-118.75,48.0,-118.12,3.8014153167990483,2020-05-05
67,47.5,-118.12,48.0,-117.5,3.341697307895161,2020-05-05
68,47.5,-117.5,48.0,-116.88,2.993135859248268,2020-05-05
69,47.5,-116.88,48.0,-116.25,2.6370367341635523,2020-05-05
70,48.0,-125.0,48.5,-124.38,4.482129627178095,2020-05-05
71,48.0,-124.38,48.5,-123.75,3.406049864379193,2020-05-05
72,48.0,-123.75,48.5,-123.12,2.9423801299579133,2020-05-05
73,48.0,-123.12,48.5,-122.5,2.76821796235026,2020-05-05
74,48.0,-122.5,48.5,-121.88,2.5753894582061863,2020-05-05
75,48.0,-121.88,48.5,-121.25,2.336612978323731,2020-05-05
76,48.0,-121.25,48.5,-120.62,2.243942247052366,2020-05-05
77,48.0,-120.62,48.5,-120.0,2.5647636703334724,2020-05-05
78,48.0,-120.0,48.5,-119.38,3.2954610010395413,2020-05-05
79,48.0,-119.38,48.5,-118.75,3.559299328483829,2020-05-05
80,48.0,-118.75,48.5,-118.12,3.0781835479517676,2020-05-05
81,48.0,-118.12,48.5,-117.5,2.657929552870484,2020-05-05
82,48.0,-117.5,48.5,-116.88,2.5245216257566856,2020-05-05
83,48.0,-116.88,48.5,-116.25,2.3408901249785155,2020-05-05
84,48.5,-125.0,49.0,-124.38,3.9476006468465545,2020-05-05
85,48.5,-124.38,49.0,-123.75,3.0707312496560903,2020-05-05
86,48.5,-123.75,49.0,-123.12,2.5621175064768846,2020-05-05
87,48.5,-123.12,49.0,-122.5,2.4398036700139576,2020-05-05
88,48.5,-122.5,49.0,-121.88,2.457488577244879,2020-05-05
89,48.5,-121.88,49.0,-121.25,2.3620495020918337,2020-05-05
90,48.5,-121.25,49.0,-120.62,2.583166903712851,2020-05-05
91,48.5,-120.62,49.0,-120.0,3.0497834778696897,2020-05-05
92,48.5,-120.0,49.0,-119.38,3.34492180792868,2020-05-05
93,48.5,-119.38,49.0,-118.75,3.2125559287007284,2020-05-05
94,48.5,-118.75,49.0,-118.12,2.7007634494410055,2020-05-05
95,48.5,-118.12,49.0,-117.5,2.3309457752480265,2020-05-05
96,48.5,-117.5,49.0,-116.88,2.2250130656681892,2020-05-05
97,48.5,-116.88,49.0,-116.25,2.0950574097316763,2020-05-05
98,49.0,-125.0,49.5,-124.38,3.905531539321922,2020-05-05
99,49.0,-124.38,49.5,-123.75,3.51759508357776,2020-05-05
100,49.0,-123.75,49.5,-123.12,2.6332283828171317,2020-05-05
101,49.0,-123.12,49.5,-122.5,2.0821394616540503,2020-05-05
102,49.0,-122.5,49.5,-121.88,2.137916535569508,2020-05-05
103,49.0,-121.88,49.5,-121.25,2.4274282820369137,2020-05-05
104,49.0,-121.25,49.5,-120.62,2.8845971698251187,2020-05-05
105,49.0,-120.62,49.5,-120.0,3.2935691366810698,2020-05-05
106,49.0,-120.0,49.5,-119.38,3.4544521580245897,2020-05-05
107,49.0,-119.38,49.5,-118.75,3.2759137691196365,2020-05-05
108,49.0,-118.75,49.5,-118.12,2.658576258193542,2020-05-05
109,49.0,-118.12,49.5,-117.5,2.1355979278912485,2020-05-05
110,49.0,-117.5,49.5,-116.88,1.9450459044578374,2020-05-05
111,49.0,-116.88,49.5,-116.25,1.848108381760345,2020-05-05
