,ref_point_lat,ref_point_lon,objectid,fac_type,loc_id,region_code,state_name,county,fac_name,lat,lon,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
22,48-39-10.6000N,122-35-09.3200W,18417,AIRPORT,WA93,ANM,WASHINGTON,WHATCOM,ELIZA ISLAND,48.65,-122.586,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
23,46-55-55.5600N,117-58-33.8070W,18418,AIRPORT,52WA,ANM,WASHINGTON,ADAMS,HONN FARM,46.93,-117.976,186.97299999999996,200.00299999999996,187.609,186.932,341.873,167.608,160.695,158.90300000000002,156.075,189.994,205.86900000000006,188.57500000000005
24,47-16-05.3620N,122-04-04.4130W,18421,AIRPORT,51WA,ANM,WASHINGTON,KING,EVERGREEN SKY RANCH,47.27,-122.068,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
25,47-18-56.3630N,122-00-35.4090W,18422,AIRPORT,95WA,ANM,WASHINGTON,KING,BLACK DIAMOND,47.32,-122.01,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
26,48-34-44.3700N,122-49-34.6470W,18425,AIRPORT,38WA,ANM,WASHINGTON,SAN JUAN,BLAKELY ISLAND,48.58,-122.826,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
27,47-29-24.9000N,122-45-53.3000W,18426,AIRPORT,PWT,ANM,WASHINGTON,KITSAP,BREMERTON NTL,47.49,-122.765,122.71300000000001,120.37400000000001,107.78699999999999,95.48599999999999,192.262,90.24699999999999,83.48899999999998,83.192,97.28,110.60199999999999,132.166,130.92999999999998
28,47-36-27.0000N,122-46-28.0000W,18428,AIRPORT,WA96,ANM,WASHINGTON,KITSAP,LEISURELAND AIRPARK,47.61,-122.774,120.70899999999999,119.45100000000004,109.36600000000003,89.21300000000001,184.37100000000007,84.004,75.80000000000001,80.92500000000001,88.943,107.98100000000002,132.12,129.053
29,48-06-17.0230N,119-43-11.6960W,18429,AIRPORT,S97,ANM,WASHINGTON,OKANOGAN,ANDERSON FIELD,48.1,-119.72,103.995,117.01099999999998,110.04400000000003,122.303,237.30699999999996,115.844,111.41000000000001,117.32199999999999,97.393,112.11900000000001,103.31299999999999,90.056
30,46-47-59.0000N,123-32-28.0000W,18431,AIRPORT,WA16,ANM,WASHINGTON,GRAYS HARBOR,BANAS FIELD,46.8,-123.541,138.369,134.71099999999998,125.04999999999998,101.08099999999999,220.28500000000003,106.801,98.70400000000001,104.585,104.52300000000001,115.644,138.175,152.225
31,45-43-26.0000N,122-32-40.0000W,18432,AIRPORT,5WA9,ANM,WASHINGTON,CLARK,BRUSH PRAIRIE AERODROME,45.72,-122.544,134.727,130.381,114.70599999999997,104.128,216.86900000000003,106.144,96.97699999999999,105.706,107.09899999999999,110.68199999999999,128.87300000000002,150.765
32,47-11-01.8650N,122-07-11.9130W,18433,AIRPORT,WN42,ANM,WASHINGTON,PIERCE,FLYING H RANCH,47.18,-122.12,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
33,47-12-56.0000N,122-07-59.0000W,18434,AIRPORT,9WA7,ANM,WASHINGTON,PIERCE,ALBRITTON,47.22,-122.133,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
34,46-26-35.4610N,120-20-27.2060W,18435,AIRPORT,WA97,ANM,WASHINGTON,YAKIMA,BUENA,46.44,-120.341,142.04600000000002,192.84299999999996,157.32799999999997,176.665,334.9209999999999,165.85399999999993,155.367,158.30499999999995,150.23900000000003,179.32899999999995,173.21699999999998,162.84900000000005
35,48-28-13.9000N,122-25-18.1000W,18436,AIRPORT,BVS,ANM,WASHINGTON,SKAGIT,SKAGIT RGNL,48.47,-122.422,126.67399999999999,109.35900000000002,105.363,81.92400000000002,164.97200000000004,73.299,63.07299999999999,66.444,77.14199999999998,92.55600000000001,125.28400000000003,131.636
36,48-31-15.3830N,122-27-54.5970W,18437,AIRPORT,WN51,ANM,WASHINGTON,SKAGIT,BAYVIEW FARMS,48.52,-122.465,126.97199999999998,111.54000000000002,103.338,85.07099999999998,163.43199999999996,75.19500000000001,67.49600000000001,67.04100000000001,77.90900000000002,97.279,125.49,127.48000000000002
37,45-37-40.1860N,122-24-15.5210W,18438,AIRPORT,1W1,ANM,WASHINGTON,CLARK,GROVE FIELD,45.63,-122.404,127.00599999999997,134.58800000000002,110.827,108.939,220.48599999999993,105.59,96.34200000000003,102.12999999999998,108.22500000000001,112.07999999999998,126.933,151.481
38,47-30-53.1000N,120-29-04.8000W,18441,AIRPORT,8S2,ANM,WASHINGTON,CHELAN,CASHMERE-DRYDEN,47.51,-120.485,93.35299999999995,120.08099999999999,105.78,120.585,238.21900000000002,120.13699999999999,116.03200000000001,121.35299999999998,98.56800000000001,117.953,102.56200000000001,93.06700000000001
39,46-19-45.3960N,122-53-10.4130W,18443,AIRPORT,WA99,ANM,WASHINGTON,COWLITZ,FLYING K RANCH,46.33,-122.886,130.07,123.21599999999998,112.64800000000001,96.368,206.536,97.99199999999998,91.83399999999999,100.40700000000001,103.98199999999999,105.69099999999999,126.21800000000002,145.392
40,46-10-38.4000N,123-23-06.0000W,18444,AIRPORT,WT44,ANM,WASHINGTON,WAHKIAKUM,MICHAIR,46.18,-123.385,143.76500000000001,136.78099999999998,129.16000000000005,103.923,227.34099999999992,111.65700000000001,101.58800000000001,113.32600000000002,110.295,117.65999999999998,141.28200000000004,159.63199999999998
41,46-09-59.2000N,123-21-43.1200W,18445,AIRPORT,79WA,ANM,WASHINGTON,WAHKIAKUM,RNR FARMS,46.17,-123.362,143.76500000000001,136.78099999999998,129.16000000000005,103.923,227.34099999999992,111.65700000000001,101.58800000000001,113.32600000000002,110.295,117.65999999999998,141.28200000000004,159.63199999999998
42,48-29-24.3640N,122-49-55.6360W,18446,AIRPORT,78WA,ANM,WASHINGTON,SAN JUAN,CENTER ISLAND,48.49,-122.832,140.79999999999998,134.00099999999998,121.12599999999999,90.28199999999998,196.096,90.64699999999999,81.64099999999999,87.80099999999999,84.06300000000002,111.59400000000001,141.33999999999997,146.12600000000003
43,46-43-07.0000N,122-54-40.0000W,18447,AIRPORT,WA95,ANM,WASHINGTON,LEWIS,SKYQUEEN,46.72,-122.911,129.659,124.215,111.69600000000004,94.38700000000001,199.65999999999997,94.528,86.822,90.33,99.468,106.38299999999998,130.579,140.30200000000002
44,45-42-59.4410N,120-59-04.2440W,18449,AIRPORT,5WA7,ANM,WASHINGTON,KLICKITAT,WILD HAIR,45.72,-120.985,133.071,179.20900000000003,139.19500000000002,160.33399999999997,303.531,154.35999999999996,145.567,146.82999999999998,137.578,160.288,152.642,157.81100000000004
45,46-40-37.3000N,122-58-57.9000W,18450,AIRPORT,CLS,ANM,WASHINGTON,LEWIS,CHEHALIS-CENTRALIA,46.68,-122.983,129.659,124.215,111.69600000000004,94.38700000000001,199.65999999999997,94.528,86.822,90.33,99.468,106.38299999999998,130.579,140.30200000000002
46,46-35-16.2000N,122-51-56.8000W,18451,AIRPORT,FA99,ANM,WASHINGTON,LEWIS,FANTASY FIELD AIRSTRIP,46.59,-122.866,129.659,124.215,111.69600000000004,94.38700000000001,199.65999999999997,94.528,86.822,90.33,99.468,106.38299999999998,130.579,140.30200000000002
47,46-37-01.3770N,122-49-34.4360W,18452,AIRPORT,0WA1,ANM,WASHINGTON,LEWIS,DWIGHT FIELD,46.62,-122.826,129.659,124.215,111.69600000000004,94.38700000000001,199.65999999999997,94.528,86.822,90.33,99.468,106.38299999999998,130.579,140.30200000000002
